Salamanca,1974-75,0,2,1,1,1,2,0,2,2,2,1,1,1,0,2,0,1,0,0,2,1,1,0,1,0,1,2,1,1,0,7.0
Elche,1974-75,2,0,1,2,0,0,2,0,0,2,1,2,0,2,0,1,2,2,2,1,2,0,1,0,1,2,0,1,0,1,8.0
Elche,1975-76,2,2,0,2,0,2,2,1,1,2,0,1,1,1,2,1,1,2,1,2,0,2,1,2,1,2,0,2,1,2,15.0
Barcelona,1975-76,0,0,2,0,0,2,0,1,1,2,0,1,0,2,0,1,0,0,2,0,2,0,0,2,0,1,0,2,0,2,2.0
Espanol,1975-76,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,0,2,0,1,1,0,1,2,2,0,2,0,2,0,4.0
Hercules,1975-76,2,0,2,0,0,0,0,1,1,0,2,0,1,0,1,2,1,0,1,2,2,1,1,0,2,1,1,1,2,0,6.0
Granada,1975-76,1,0,1,0,2,1,2,1,0,2,1,0,0,2,0,2,1,1,1,1,2,2,2,2,0,2,1,2,0,2,17.0
Real Sociedad,1975-76,0,2,2,0,2,1,0,0,1,1,2,1,2,1,2,2,1,2,0,0,1,1,2,1,2,0,0,0,2,0,8.0
Real Madrid,1975-76,0,1,0,0,0,1,0,1,1,0,0,1,1,0,2,0,2,2,0,0,0,1,0,0,0,0,2,0,1,0,1.0
Sevilla,1975-76,0,2,0,2,0,1,0,2,1,2,1,2,0,2,0,0,1,0,1,2,0,2,0,2,0,2,0,2,0,2,11.0
Las Palmas,1975-76,2,0,2,2,2,0,2,1,2,1,2,2,2,0,0,0,2,2,2,1,0,1,0,0,1,0,2,0,2,0,13.0
Valencia,1975-76,0,2,2,0,0,2,2,1,0,1,2,0,2,0,2,2,0,2,1,2,2,1,1,0,2,0,1,0,2,1,10.0
Salamanca,1975-76,0,2,1,2,0,0,2,1,0,1,0,2,1,2,0,1,1,2,0,1,1,2,1,2,0,2,2,2,0,2,9.0
Zaragoza,1975-76,0,2,0,2,2,2,2,2,2,2,1,0,1,0,1,1,1,2,0,2,0,2,2,1,0,2,0,0,1,0,14.0
Atletico de Madrid,1975-76,2,1,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,2,2,0,1,0,2,3.0
